stopID,stopName,baselineAvgMinutes,closedStopAvgMinutes,deltaMinutes,walkOnlyTrips,note
"000000002340","Frederiksberg Allé St. (Frederiksberg Allé)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000001251","Kildevældsparken (Vennemindevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001004","Bachersmindelejren (Fælledvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001001","Løjtegårdsskolen (Løjtegårdsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000001002","Store Magleby Strandvej (Bachersmindevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001249","Skt. Kjelds Plads (Nygårdsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000002338","Frederiksberg Runddel (Frederiksberg Allé)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000002336","Søndre Fasanvej (Roskildevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001248","Lyngbyvej (Sejrøgade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000002337","Zoologisk Have (Roskildevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000008603331","Rådhuspladsen St. (Metro)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000008603336","Poul Henningsens Plads St. (Metro)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000008603338","Skjolds Plads St. (Metro)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001461","Strandvænget (Strandvejen)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001462","Strandøre (Strandvejen)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000002784","Arsenaløen",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000054629","Amager Bakke (Vindmøllevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001459","Nygårdsvej (Østerbrogade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000125","Nørre Gymnasium (Mørkhøjvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001219","Irlandsvej (Vejlands Allé)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000000053772","Nøragersmindevej (Kongelundsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000008603341","Nuuks Plads St. (Metro)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000008603349","Sluseholmen St. (Metro)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000001231","Valby Langgade (Søndre Fasanvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001223","Mozarts Plads St. (Borgm. Christiansens Gade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001463","Gl. Vartov Vej (Strandvejen)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001227","Trekronergade (Carl Jacobsens Vej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000055969","Containervej (Sundkrogsgade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000054630","Amager Bakke (Vindmøllevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000003064","Islev St. (Slotsherrensvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000028363","Kastrup St. (Ved Stationen)",62.42,62.42,0.00,123,"4 baseline trips used this stop"
"000000028366","Sirgræsvej (Alleen)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000010821","Marielystvej (Rådmand Steins Allé)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000003071","Æblevej (Hillerødgade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000025082","Amagerbro St. (Amagerbrogade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000005499","Søvang Allé (Saltværksvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000028597","Vanløse St. (Jernbane Allé)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000003077","Skyttegade (Rantzausgade)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000003076","Nuuks Plads St. (Rantzausgade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000005460","Blommehaven (Gammel Køge Landevej)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000000049877","Brønshøjvej (Bellahøjvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000005459","Blommehaven (Gammel Køge Landevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000003038","Husumvej (Slotsherrensvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000048316","Irlandsvej (Sundbyvestervej)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000000005472","A. P. Møllers Allé  Kystvejen (A. P. Møllers Allé)",62.42,62.42,0.00,123,"6 baseline trips used this stop"
"000000028573","Thomas Laubs Gade (Bellmansgade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000028329","Nørreport St. (Nørre Voldgade)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000000001080","Århusgade (Strandboulevarden)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001083","Serridslevvej (Jagtvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000007861","Indiakaj",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001087","Tagensvej (Jagtvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001088","Stevnsgade (Jagtvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000003016","Lergravsparken St. (Øresundsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000003015","Sundparken (Øresundsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000048332","Dalgas Have  Lindevang St. (Bernhard Bangs Allé)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000003014","Strandlodsvej (Øresundsvej)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000000006524","Ryparken St. (Lyngbyvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000003019","Amagerbrogade (Englandsvej)",62.42,62.42,0.00,123,"5 baseline trips used this stop"
"000000003018","Kirkegårdsvej (Øresundsvej)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000000001094","Frederiksberg St. (Falkoner Allé)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000003035","Åbakkevej (Sallingvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
